"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"84,Jimmy Butler\butleji01,SG,29,MIN,10,361,22.4,.579,.287,.389,4.7,10.7,7.7,18.2,3.2,2.4,7.1,23.0,,1.0,0.4,1.3,.178,,3.8,0.8,4.6,0.6"
"84,Jimmy Butler\butleji01,SF,29,PHI,53,1774,20.2,.571,.196,.402,6.4,10.4,8.5,18.4,2.6,1.3,8.4,22.2,,4.5,2.1,6.6,.178,,2.6,0.7,3.3,2.4"
"85,Bruno Caboclo\cabocbr01,SF,23,MEM,29,654,11.6,.563,.581,.227,5.9,15.8,10.7,8.7,0.9,3.8,13.3,14.9,,0.4,0.8,1.2,.086,,-1.4,1.1,-0.3,0.3"
"86,Jose Calderon\caldejo01,PG,37,DET,48,628,7.2,.456,.471,.092,1.8,8.9,5.2,24.9,1.3,0.4,22.0,10.9,,0.1,0.5,0.6,.045,,-3.8,-1.1,-4.9,-0.5"
"87,Kentavious Caldwell-Pope\caldwke01,SG,25,LAL,77,1848,12.7,.580,.589,.222,2.5,9.3,6.0,6.3,1.7,0.6,7.3,17.1,,2.2,1.6,3.8,.099,,0.6,-1.1,-0.6,0.7"
"88,Isaiah Canaan\canaais01,PG,27,TOT,30,629,8.0,.518,.585,.146,1.0,9.2,5.1,18.3,1.1,0.3,16.7,14.2,,0.0,0.1,0.1,.010,,-2.4,-2.7,-5.1,-0.5"
"88,Isaiah Canaan\canaais01,PG,27,PHO,19,503,7.3,.515,.558,.155,1.1,9.8,5.4,17.1,1.1,0.0,17.4,14.2,,-0.1,0.0,0.0,-0.005,,-2.7,-2.5,-5.1,-0.4"
"88,Isaiah Canaan\canaais01,PG,27,MIN,7,95,12.4,.536,.655,.138,0.0,5.7,2.8,26.9,1.0,0.9,11.5,15.3,,0.1,0.0,0.2,.080,,-0.4,-4.6,-5.0,-0.1"
"88,Isaiah Canaan\canaais01,PG,27,MIL,4,31,5.3,.500,.833,.000,3.5,9.3,6.6,11.6,0.0,2.7,25.0,10.8,,0.0,0.0,0.0,.032,,-4.2,-0.1,-4.3,0.0"
"89,Clint Capela\capelca01,C,24,HOU,62,2109,23.4,.654,.000,.348,14.3,27.3,20.6,6.9,1.0,3.8,10.1,18.1,,7.0,2.7,9.7,.221,,1.1,1.4,2.5,2.4"
"90,DeMarre Carroll\carrode01,PF,32,BRK,64,1638,12.3,.549,.541,.425,4.3,17.1,10.8,7.3,0.8,0.5,9.7,18.7,,1.5,1.5,3.0,.089,,-0.9,-0.9,-1.8,0.1"
"91,Jevon Carter\carteje01,PG,23,MEM,34,471,4.3,.344,.524,.154,2.6,9.3,5.8,17.4,2.4,2.0,16.0,17.2,,-1.2,0.6,-0.6,-0.065,,-6.2,0.2,-6.0,-0.5"
"92,Vince Carter\cartevi01,SF,42,ATL,72,1238,12.2,.574,.675,.129,2.4,13.4,7.8,9.1,1.6,1.6,8.6,16.9,,1.3,0.7,2.0,.078,,0.1,-1.5,-1.4,0.2"
"93,Wendell Carter\cartewe01,C,19,CHI,44,1110,15.3,.541,.086,.302,8.5,21.8,15.1,10.7,1.1,4.5,13.4,19.1,,0.7,1.1,1.9,.081,,-2.3,1.8,-0.5,0.4"
"94,Michael Carter-Williams\cartemi01,PG,27,TOT,24,290,14.1,.463,.314,.390,4.8,14.0,9.3,25.4,2.2,3.8,11.5,20.9,,0.1,0.4,0.5,.080,,-2.4,1.2,-1.2,0.1"
"94,Michael Carter-Williams\cartemi01,PG,27,HOU,16,145,12.7,.476,.311,.426,2.2,7.9,5.0,23.0,3.1,3.5,12.1,24.7,,0.0,0.2,0.1,.042,,-3.3,-0.4,-3.7,-0.1"
